shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,-23.542328,-46.472385,1,0.0
1,-23.542429,-46.472326,2,12.7
1,-23.542632,-46.472140,3,42.1
1,-23.542708,-46.471889,4,69.1
1,-23.542752,-46.471511,5,108.0
1,-23.542822,-46.471466,6,117.0
1,-23.542825,-46.471393,7,124.5
1,-23.542852,-46.471356,8,129.3
1,-23.542828,-46.471303,9,135.3
1,-23.542800,-46.471232,10,143.2
1,-23.542843,-46.471190,11,149.6
1,-23.542888,-46.471199,12,154.7
1,-23.542953,-46.471297,13,167.0
1,-23.542933,-46.471487,14,186.6
1,-23.542815,-46.471863,15,227.1
1,-23.542733,-46.472117,16,254.6
1,-23.542605,-46.472687,17,314.5
1,-23.542574,-46.473093,18,356.1
1,-23.542628,-46.473651,19,413.4
1,-23.542726,-46.474255,20,476.0
1,-23.542764,-46.474402,21,491.6
1,-23.542804,-46.474774,22,529.8
1,-23.542830,-46.475303,23,583.9
1,-23.542809,-46.475524,24,606.6
1,-23.542739,-46.476195,25,675.6
1,-23.542565,-46.477094,26,769.4
1,-23.542348,-46.478072,27,872.1
1,-23.541985,-46.479734,28,1046.5
1,-23.541592,-46.481481,29,1230.1
1,-23.541418,-46.482146,30,1300.7
1,-23.541092,-46.482960,31,1391.3
1,-23.539907,-46.484336,32,1583.5
1,-23.538372,-46.485502,33,1791.1
1,-23.537677,-46.485832,34,1875.1
1,-23.536731,-46.486248,35,1988.2
1,-23.535836,-46.487132,36,2122.2
1,-23.535384,-46.488204,37,2242.6
1,-23.535391,-46.488218,38,2244.2
1,-23.535366,-46.489892,39,2415.2
1,-23.535205,-46.492308,40,2662.5
1,-23.534966,-46.494298,41,2867.5
1,-23.534581,-46.495429,42,2990.6
1,-23.533879,-46.496597,43,3133.0
1,-23.533122,-46.497450,44,3253.8
1,-23.532601,-46.498235,45,3352.6
1,-23.532082,-46.499202,46,3466.9
1,-23.531534,-46.500159,47,3581.9
1,-23.531018,-46.501069,48,3691.0
1,-23.531003,-46.501087,49,3693.5
1,-23.530489,-46.501900,50,3794.1
1,-23.529375,-46.503418,51,3992.3
1,-23.528783,-46.504349,52,4107.8
1,-23.528009,-46.505548,53,4257.2
1,-23.527733,-46.506046,54,4316.6
1,-23.527525,-46.506620,55,4379.5
1,-23.527318,-46.507310,56,4453.6
1,-23.527225,-46.507888,57,4513.5
1,-23.527170,-46.508629,58,4589.5
1,-23.527222,-46.509301,59,4658.3
1,-23.527479,-46.511152,60,4849.5
1,-23.527669,-46.512298,61,4968.4
1,-23.527899,-46.513430,62,5086.8
1,-23.528008,-46.513911,63,5137.3
1,-23.528308,-46.514562,64,5211.7
1,-23.528633,-46.515263,65,5291.8
1,-23.529069,-46.516259,66,5404.4
1,-23.529739,-46.517536,67,5554.4
1,-23.530470,-46.519094,68,5732.9
1,-23.530685,-46.519667,69,5796.1
1,-23.530860,-46.520151,70,5849.2
1,-23.530987,-46.520659,71,5902.9
1,-23.531154,-46.521820,72,6022.9
1,-23.531286,-46.523215,73,6166.1
1,-23.531332,-46.523896,74,6235.9
1,-23.531400,-46.524621,75,6310.3
1,-23.531574,-46.526264,76,6479.1
1,-23.531743,-46.527709,77,6627.9
1,-23.531812,-46.528630,78,6722.2
1,-23.531771,-46.529367,79,6797.6
1,-23.531637,-46.530449,80,6909.1
1,-23.531466,-46.531470,81,7015.1
1,-23.531428,-46.532351,82,7105.1
1,-23.531557,-46.533588,83,7232.3
1,-23.531842,-46.534923,84,7372.2
1,-23.532178,-46.536678,85,7555.2
1,-23.532363,-46.537516,86,7643.2
1,-23.532936,-46.539959,87,7900.6
1,-23.533082,-46.540639,88,7971.9
1,-23.533431,-46.542995,89,8215.6
1,-23.533630,-46.544437,90,8364.5
1,-23.533840,-46.545628,91,8488.3
1,-23.534175,-46.547457,92,8678.7
1,-23.534572,-46.549218,93,8863.9
1,-23.534705,-46.550037,94,8948.8
1,-23.534939,-46.551083,95,9058.7
1,-23.535317,-46.552813,96,9240.2
1,-23.535598,-46.554286,97,9393.8
1,-23.535935,-46.556028,98,9575.6
1,-23.536181,-46.557394,99,9717.7
1,-23.536500,-46.558815,100,9867.1
1,-23.537090,-46.561589,101,10157.7
1,-23.537356,-46.562905,102,10295.3
1,-23.537629,-46.564096,103,10420.6
1,-23.537747,-46.564830,104,10496.7
1,-23.537939,-46.565727,105,10590.7
1,-23.538107,-46.566776,106,10699.5
1,-23.538235,-46.567544,107,10779.2
1,-23.538631,-46.569683,108,11001.9
1,-23.538816,-46.570743,109,11112.1
1,-23.539104,-46.571963,110,11240.7
1,-23.539361,-46.572786,111,11329.4
1,-23.539613,-46.573416,112,11399.5
1,-23.539854,-46.574265,113,11490.2
1,-23.540055,-46.575075,114,11575.9
2,-23.686132,-46.714243,1,0.0
2,-23.691172,-46.714453,2,558.6
2,-23.691142,-46.714883,3,602.6
2,-23.692152,-46.715093,4,716.5
2,-23.693012,-46.715113,5,811.8
2,-23.693130,-46.714793,6,846.9
2,-23.693120,-46.714439,7,883.0
2,-23.694235,-46.714461,8,1006.5
2,-23.694373,-46.714858,9,1049.8
2,-23.694522,-46.715293,10,1097.2
2,-23.696452,-46.715373,11,1311.1
2,-23.696873,-46.714590,12,1403.5
2,-23.694240,-46.714456,13,1695.5
2,-23.696872,-46.714583,14,1987.3
2,-23.701042,-46.714623,15,2449.1
2,-23.702202,-46.714693,16,2577.8
2,-23.703002,-46.714493,17,2668.7
2,-23.710150,-46.711025,18,3535.8
3,-23.675081,-46.712143,1,0.0
3,-23.675882,-46.712103,2,88.8
3,-23.675932,-46.712483,3,128.0
3,-23.676942,-46.712673,4,241.5
3,-23.677982,-46.714613,5,470.5
3,-23.677562,-46.716093,6,628.4
3,-23.677272,-46.717393,7,764.9
4,-23.611205,-46.476381,1,0.0
4,-23.611261,-46.476885,2,51.8
4,-23.611469,-46.478087,3,176.6
4,-23.611597,-46.478707,4,241.5
4,-23.611692,-46.479489,5,322.0
4,-23.611708,-46.479933,6,367.3
4,-23.611598,-46.480399,7,416.4
4,-23.611381,-46.481129,8,494.7
4,-23.611291,-46.481437,9,527.7
4,-23.611237,-46.481625,10,547.8
4,-23.611072,-46.481877,11,579.3
4,-23.610722,-46.482223,12,631.7
4,-23.610554,-46.482364,13,655.3
4,-23.609990,-46.482806,14,732.3
4,-23.609808,-46.482921,15,755.6
4,-23.609525,-46.483236,16,800.5
4,-23.609259,-46.483284,17,830.4
4,-23.609066,-46.483366,18,853.4
4,-23.608879,-46.483516,19,879.1
4,-23.608444,-46.483895,20,940.9
4,-23.608166,-46.484166,21,982.3
4,-23.607659,-46.484631,22,1055.8
4,-23.607381,-46.484850,23,1093.8
4,-23.606819,-46.485305,24,1171.5
4,-23.606551,-46.485526,25,1208.8
4,-23.606289,-46.485943,26,1260.3
4,-23.606251,-46.486241,27,1291.0
4,-23.606268,-46.486489,28,1316.4
4,-23.606499,-46.487413,29,1414.1
4,-23.606608,-46.487765,30,1452.0
4,-23.606745,-46.488356,31,1514.2
4,-23.607167,-46.489942,32,1682.7
4,-23.607442,-46.490796,33,1775.0
4,-23.607610,-46.491585,34,1857.6
4,-23.607571,-46.491943,35,1894.4
4,-23.607521,-46.492100,36,1911.4
4,-23.607650,-46.492351,37,1940.7
4,-23.607820,-46.492505,38,1965.2
4,-23.608091,-46.493136,39,2036.3
4,-23.608529,-46.494345,40,2168.9
4,-23.608795,-46.495073,41,2248.8
4,-23.609120,-46.495966,42,2346.8
4,-23.609406,-46.496727,43,2430.6
4,-23.609338,-46.496934,44,2453.1
4,-23.609381,-46.497363,45,2497.1
4,-23.609751,-46.497678,46,2549.2
4,-23.609943,-46.498196,47,2606.2
4,-23.609949,-46.498875,48,2675.5
4,-23.610273,-46.499576,49,2755.5
4,-23.610474,-46.500047,50,2808.5
4,-23.610219,-46.500928,51,2902.7
4,-23.609177,-46.503285,52,3169.5
4,-23.607818,-46.505840,53,3470.6
4,-23.605791,-46.507088,54,3728.7
4,-23.602749,-46.508160,55,4082.9
4,-23.601149,-46.509750,56,4323.2
4,-23.600239,-46.510623,57,4457.7
4,-23.599467,-46.512732,58,4689.4
4,-23.598991,-46.514081,59,4836.8
4,-23.598330,-46.515980,60,5044.0
4,-23.597841,-46.517355,61,5194.4
4,-23.597688,-46.517761,62,5239.2
4,-23.598043,-46.518869,63,5358.9
4,-23.598839,-46.521243,64,5616.7
4,-23.597843,-46.523557,65,5877.4
4,-23.597142,-46.524536,66,6003.9
4,-23.596709,-46.524745,67,6056.4
4,-23.595584,-46.524657,68,6181.3
4,-23.594888,-46.525167,69,6274.4
4,-23.594279,-46.525785,70,6366.7
4,-23.593025,-46.527118,71,6561.1
4,-23.591027,-46.529390,72,6881.7
4,-23.589981,-46.530780,73,7064.8
4,-23.589380,-46.531650,74,7175.8
5,-23.694102,-46.683413,1,0.0
5,-23.695222,-46.684613,2,174.3
5,-23.695712,-46.684673,3,228.9
5,-23.696382,-46.684143,4,320.7
5,-23.697142,-46.684503,5,412.5
5,-23.697652,-46.684923,6,483.4
5,-23.698712,-46.685213,7,604.5
5,-23.698812,-46.685493,8,635.1
5,-23.698602,-46.686113,9,702.5
5,-23.697912,-46.687143,10,832.4
5,-23.696772,-46.688283,11,1004.0
5,-23.695492,-46.689213,12,1174.6
5,-23.688772,-46.693343,13,2029.8
5,-23.688112,-46.693863,14,2120.1
5,-23.687562,-46.694423,15,2203.6
5,-23.687012,-46.694803,16,2275.8
5,-23.686582,-46.695043,17,2329.3
5,-23.685432,-46.695473,18,2464.0
5,-23.682972,-46.696833,19,2769.8
5,-23.681542,-46.697863,20,2959.8
5,-23.677922,-46.701313,21,3493.3
5,-23.675932,-46.702783,22,3759.9
5,-23.666272,-46.708503,23,4978.5
5,-23.664682,-46.709683,24,5191.8
5,-23.662492,-46.710843,25,5461.7
5,-23.662042,-46.711143,26,5520.2
5,-23.661272,-46.711773,27,5627.0
5,-23.660442,-46.712563,28,5749.2
5,-23.659762,-46.713303,29,5855.9
5,-23.659062,-46.714273,30,5981.6
5,-23.657072,-46.717473,31,6375.5
5,-23.656562,-46.718173,32,6466.5
5,-23.655772,-46.719033,33,6590.4
5,-23.654012,-46.720443,34,6832.7
5,-23.650232,-46.723733,35,7369.3
5,-23.649042,-46.724613,36,7528.7
5,-23.647502,-46.725203,37,7709.6
